linkPVID, refSlope, probeSlope, diff
587010503, 0.200250, 0.016581, 0.183669
550097533, -1.652842, 0.010080, -1.662922
586495266, -0.202000, -0.105047, -0.096953
79810771, -0.087048, -0.009521, -0.077527
572196856, 1.190889, -0.020092, 1.210981
586831101, 0.024800, -0.069935, 0.094735
759429723, -0.187706, -0.041464, -0.146241
52509836, -0.151500, 3.068773, -3.220273
67945901, -1.498000, -13.043428, 11.545428
757000717, 0.005556, -0.070063, 0.075619
586484839, 0.020000, 0.421732, -0.401732
67991281, 0.329182, -0.108149, 0.437331
67986043, -0.174455, 0.042449, -0.216904
586513322, -0.568000, -0.041551, -0.526449
586513323, -0.029500, 0.035427, -0.064927
762741966, 0.004450, 0.025154, -0.020704
51850658, -0.073000, -0.401779, 0.328779
51850653, -0.034000, 0.031802, -0.065802
550098579, 1.632889, 0.080328, 1.552561
567319102, 1.901333, -4.196090, 6.097424
554722138, -1.201692, -0.058765, -1.142927
62038333, -0.408027, -0.573847, 0.165820
762971786, 2.998024, 0.019859, 2.978166
79791757, 0.075750, -0.411733, 0.487483
763599407, -0.174333, 0.220796, -0.395129
763601815, -0.136944, 0.090926, -0.227870
75418914, -0.000882, -0.025757, 0.024874
792737770, 0.034667, 0.076611, -0.041944
74609109, -0.324667, 0.009713, -0.334379
74607113, 0.124000, 2.522526, -2.398526
79816921, -0.050300, 0.030493, -0.080793
809652308, 1.633200, -80.633689, 82.266889
786911676, -0.378700, -0.053961, -0.324739
554729327, -1.127625, -0.207664, -0.919961
51576501, 0.541250, 0.055998, 0.485252
586490427, -0.196500, 0.023644, -0.220144
723423961, -0.121909, 0.119034, -0.240943
756408059, 1.572667, -0.021696, 1.594363
756502487, 0.215333, 0.083967, 0.131366
567317411, 0.753286, 0.095195, 0.658091
792500373, 1.373500, 0.078508, 1.294992
67917075, 0.653500, -0.007021, 0.660521
554737312, 0.168867, 0.000000, 0.168867
79809429, -0.075583, 0.085011, -0.160594
550096345, 0.705500, 0.078586, 0.626914
554724239, 0.021000, -0.059114, 0.080114
592192951, -0.137500, 0.007661, -0.145161
51863508, -0.124222, 0.042041, -0.166263
67972869, -0.025417, -0.019809, -0.005608
554735914, -0.236875, -0.007341, -0.229534
554735916, 0.337714, -0.021356, 0.359070
565394211, -0.815500, 0.088768, -0.904268
565394210, -0.248667, -8.451789, 8.203123
68123789, 0.417400, 0.110800, 0.306600
79757844, -0.862500, -2.761854, 1.899354
540632240, -0.834667, 0.051827, -0.886494
766434168, 0.820857, -0.826089, 1.646946
761759143, -0.049667, -0.031469, -0.018198
78662666, -0.269526, -0.074738, -0.194789
550096338, 2.905500, -0.111958, 3.017458
576447175, -2.025250, 0.042295, -2.067545
51836258, 0.074400, 0.168554, -0.094154
79765832, -0.920667, 4.472208, -5.392874
51808276, -0.141167, -0.251815, 0.110649
762911341, 0.146600, 0.166919, -0.020319
79809186, -0.448600, 0.000000, -0.448600
62019687, 0.378167, -0.375003, 0.753170
